LAST,FIRST,EMAIL,STATUS,NOTES
"Addams, esq.","Gomez",gomez.addams@deathmail.com,ready,"line 1
line 2
line 3
line 4
line 5"
Addams,Morticia,Morticia.Addams@deathmail.com,waiting,"No one knows how long we've kept her waiting.
We can only beg forginess at this point."
Vinterslaus,Milo,milov@aol.com,activated,Milo seems unstoppable. Go Milo!
Gardner,Mark,mgardner@cheservices.com,,"Computery stuff, right?"
,Dan,drogers@levelsunknown.com,testing,"Bug hunter extrodinair.
Slayer of bad logic.
Vanquisher of lesser QA tests."
Blunt,Emily,eblunt@starharris.club,,"Not to be confused with the actress.
Miss Blunt is dowdy, organized, and cooks the best hamburgers I've had the
pleasure of consuming."
Dent,Arthur,adent@aol.com,upset,Where is Trillian?
Astra,Trillian,trillian@hotmail.com,ready,I used to be Tricia Marie McMillan. But now I'm Trillian.
Prefect,Ford,betelgeuse.dude@hotmail.com,prepared,Zaphod!
Beeblebrox,Zaphod,presidentoftheuniverse@theuniverser.gov,lost,Where is Trillian?
Adams,Douglas,dadams@mail.com,R.I.P.,Doctor Who?
Haymer,Yolanda,Saffron@firefly.com,redhead,YoSaffBridget?
